text,target
Had a good time at Eat n Park drinking a latte and playing Munchkin Impossible with @Chriswolfe2007. ,1
so excited for my eye exam tomorrow. ,1
italian lesson now! Bored! ,0
"Sittin here w/Kayla, I really really reallly dis-like having a brother.  He doesn't know when to stop. I'm waiting for the day when one of",0
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",0
Just saw Sunshine Cleaning. I love Amy Adams ,1
@BethTing PRETTY GOOD THANKS  YOU?  haha,1
"@timlovejoy aye, hardly suitable for me to watch at work, had to close it down sharpish ",1
cant wait 2 c Carter when bak @ skewl hate gettin sick it suks.......blech ,0
@THEREALMISCHA i'm really glad i'm now following the real mischa ,1
"Mkay. Done packing for the most part, and Ready for bed. Next twit, in California! haha Night everyone ",1
@ceetee Talk about dedicated service ,1
Back from school. NO MORE SCHOOL FOR TWO WEEKS ,1
cannot find her phone ,0
"@justhere4ash Yeah,it's holidays because of Easter  haha,I'm so happy xD don't you have holidays?    Lol,my hair is reallyyy long ;]",1
@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,0
"@levimorales well, i'm doing good here as well  and having fun at the same time. have a wonderful week as well ",1
Note to you all: don't go to the choclate bar @ schiphol!! it is passengers only ,0
@sermoa http://ykyat.com/~37mqt - First thing I turned off ,1
going to walk my dogs and shower before bed.   sad the yankees lost the first game monday too!  boooo ,0
@MizzChievouz am sorry to say but it is still in the air ,0
Good morro! I had a dream that I was banned from GGUI ,1
im yellinq at ma mummyy  !! lol .. she is ANGRY AT MEE  !! ,0
"@alessandrod: dude.. hope you guys are alright, except the home/car ",0
my fingers ache  they feel like they have arthritis,0
Had a lovely day at the beach followed by dinner with a gorgeous lady ;) roll on the work today  Booo!,0
@Ericossie G'morning back  I go later to my &quot;Fruit&quot; Dealer and buy fresh RAM ;),1
Hoping the tummy rumbles go away soon ,0
"@holyschmoke fingers are firmly crossed for you, any advice, give me a shout ",1
Of course the baby is screaming in the crib the night before my first day back at work.  So I let him cry it out? Boooo,0
Just woke up...need to walk the dog...an go to the store and buy some breakfast. I hope I the vinyls I ordered today! ,1
I just finished the seat of my bench! But enough Maya - I'm going to sleep now. Hope to finish it tomorrow. I'm going to dream in 3D... ,1
is going to pack today ,1
It's snowing.....no more needs to be said! ,0
"Check out www.monitter.com @macbuddha mentioned it earlier, but it is a fantastic site ",1
AHHHHHHH! Everyones doing laundry except me ,0
Feels like she is gonna throw up ,0
is super tired and really wants to go to bed but i have so much h/w to do......omg uni drains my life ,0
I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,0
Found it.. bloody iPlayer tho  hate that thing with a passion.,0
"@dylansongs No unfortunately, it seems to be only available in the US. Not Canada either. ",0
"jeez, i'm so fucked up. don't you DARE TO ASK WHY ",1
@OfficialKat yup. 'phwoar' pretty much means 'ohmygod look at him!' lol ,1
@stephenkruiser i had 2 put my dog down today too  someone ran her over,0
@marciachaney So it got to 78 yesterday...tied the record! Today.. about as warm..around 75. It feels like summer! But not for long ,0
@mattsoutatown I told you I told you I told you - and finally you listened ,1
"Hello, world!!! Tis my first tweet ",1
I sooo cannot afford to get an iPhone ,0
@EvanKirkendall question! if you could get anything from australia as a present .. what would that be? ,1
@SexySubKaylee Oh! I'm stellar 2nite gurl! I'm havin an amazing shift gurl! and btw ur welcome! ,1
@ilovedricoll ohhh stupid whore!! argh  well it is ok . . i love you,0
My bed just feels too amazing. Dont make me get up! ,0
"time to start my day! away to have breakfast + get ready + then get the train, see ya! ",1
"Today was a less interesting day on Twitter. @cboyack , @igeldard , and @iidiocracy were all kind of quiet today ",0
seeing that shouldnt have made my stomach flip like it did ,0
I am not wanting to go to school tomorrow. ,0
@adamabbate there's a perfectly good bit of road there ,1
"Right, laters everyone I am off for my next Bowen treatment, will be gone a few hours, have a good morning ",1
@ekirsopp thanking you ,1
do Dairy Milk white chocolate buttons actually exist? All the ones in London have been eaten ,0
@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,0
"yay, migraine to round of Berlin ",0
"@ehoust15 how's you today? Send me some motivation, with a bacon roll ",1
@bulhaa libey thaa libigannaaaashe.... goooood miadhu ekkoh ves nidhaa... ,1
"Ah pois Ã¯Â¿Â½ DogKiller, Big Brother is watching you hehe ",1
waiting on Ms.Mitchell  I hate waiting ,0
@MTsiaklides aw I wish I could! I can't really speak to my yia yia because she doesn't speak english ,0
is annoyed with the amount of glass on dublin roads and the number of punctures I am getting ,0
@mileycyrus awe I feel u i just woke up for school  hopefully we both have a better rest of the day.. &amp; I hope that includes meeting u lol,0
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,0
Listening to frank turner curled up on the sofa with puffy eyes and a cold ,0
@joytribble you know i'm LMAO at you right now right?  LOL,1
Where has the morning gone? ,0
@mehulved hilarious  i hope there are pakodas and samosas involved after a long lunch break,1
time to go out.. doesn't look very nice out there though.  xx,0
"@Henkuyinepu yeah, apparently i have really bad taste ",0
@Rocmoney ha! I've been planning my &quot;dramatic walk-out speech&quot; (it would be a tupac rap) for sometime now...just need another job first ,0
@aussiecynic is it? why? well then indonesian school could be a great place for me at this point ,1
Morning Everyone ,1
"yay~! bought jax a new tag, looks pretty much the same as the one he lost. ",1
