Get down to The Galeries for $10 baskets of dumplings. Plus other Lotus locations are offering special flavours.  sydney https://t.co/3kGWkIfQd5	The Galeries	Lotus	sydney														
"Me &amp; My Car: ‘Luckiest unlucky man’ ’52 VW Bug’s proud owner: https://t.co/W43NqHlz4s  SF  SanFrancisco  Transit… https://t.co/hiWprO5Cuf"	SF	SanFrancisco															
Just some of the raw materials you can smell at Thursday’s perfume making workshop!   . . . . .  perfumemaking  rawmaterials  perfumer  fragrance  spring  smell  scentedadventures  sydney  strandarcade  perfume… https://t.co/O3YehikB3p	sydney																
We are on sale in  SanFrancisco Access Hollywood Live (NBC) says “You HAVE to check them out! That was tremendous!”… https://t.co/AHkkquXXk1	SanFrancisco																
While procedurally, the debate considering amendments on the  abortionbill in the  nsw upper house could go on forever, politically,  this seems unlikely... hang in there you feminists and pro-choice activists. We. Will. Get. This. Done  VoteProChoiceNSW  nswpol https://t.co/yuQe88ZEvk	nsw																
Great weekend with Hannah Nguyen-Chang in  SF.  Think we overdone it this Saturday as she’s experiencing lots of pa… https://t.co/SzWYHoCFgY	SF																
Sugar baby needed,if you as are in school or in a less paying job.First 60 to like AND retweet gets $2000.I'm legit 24 hours giveaway  USA  Canada  Texas  California  NewYork  Alabama  westwod  dellastx   Florida  German. DM on Hangouts email@domain.com or Kik nickygonzalez1	USA	Canada	Texas	California	NewYork	Alabama	Florida										
RT @people: Don’t be afraid of being different, be afraid of being the same...   entrepreneur  realestate  househunting  condo  design  …																	
SanFrancisco panel of judges may not be buying that 'Stairway' needs new trial https://t.co/2YTHEmu5dc @people	SanFrancisco																
From https://t.co/MDjtLDWTeX - One of the greatest things about  Wellington is that it’s full of art. As Jeff Tweedy of @people said, “I think art is a consolation regardless of its content. It has the power to move and make you feel like you’re not.” https://t.co/QPedRiLY0d	Wellington																
World's best  squash players gather in  SanFrancisco for PSA Oracle Netsuite Open https://t.co/vl977zzA2n	SanFrancisco																
Hype is getting hyped this weekend! We are so grateful to have fantastic customers in  Newyork,  Sanfrancisco and… https://t.co/mO6eITW3I6	Newyork	Sanfrancisco															
Why is  Wellington public transport so slow when you need to get somewhere. I don't want to go to the dentist, but I do need to be there on time.  WellingtonProblems	Wellington																
HANNAH  historical set in colonial  Australia and the dark  prisons of  NSW. https://t.co/4j9r3ZNQiy https://t.co/n7z8lIzRdP	Australia	NSW															
Newyork baseball long sleeve T shirt | Streetfashion Clothing https://t.co/lIdHEt6mov  tee  fashion  tshirtdesign  shirt   Berlin  Frankfurt  Amsterdam  Paris  London  NEWYORK  WashingtonDC  Geneva  STOCKHOLM  Wellington  vienna  usa   toronto  unitedkingdom  Germany  France	Newyork	Berlin	Frankfurt	Amsterdam	Paris	London	NEWYORK	WashingtonDC	Geneva	STOCKHOLM	Wellington	vienna	usa	toronto	unitedkingdom	Germany	France
RT @people: Book  CheapFlights to  SanFrancisco : Search and compare airfares on Travelhoteltours to find the best flights for your…	SanFrancisco																
Been a full- on day in beautiful  Scarborough now rounding it off with dinner and practising for tomorrow night's gig at @people !  funnygirl  comedy  Leeds  comedian  Wellington  laughterforlife  Yorkshire	Wellington																
Nothing better than a stroll through San Francisco’s Design District... potrerohill  . . . . . . . . . .… https://t.co/RuAlOTUD6i	San Francisco																
I love the people living in Vista Verde Ct, they eat shrimps with their fingers.  SanFrancisco	Vista Verde Ct	SanFrancisco															
Good morning Parramatta! View from the 27th floor of the Meriton  sydney  parramatta  meriton  chai  bondi  chailatte  monday @ Meriton Altitute Apartments Parramatta https://t.co/wKZleBBH9q	Parramatta	sydney	Meriton Altitute Apartments Parramatta														
 49ers beat the  Steelers 24-20 to help me bounce back a little more.   SanFrancisco is 3-0 but still not reminding… https://t.co/nz8R84mfjY	SanFrancisco																
@people Breed we have been hearing this same old junk from you Democrats for 20 years and the homeless/druggie… https://t.co/IHraXrJnMr																	
RT @people:  Awesome  evening in  Sydney  Australia https://t.co/pKQInDWlzW	Sydney	Australia															
I love the people living in Meda Ave, they are so optimistic.  SanFrancisco	Meda Ave	SanFrancisco															
I love the people living in Tamalpais Ter, they are terrific.  SanFrancisco	Tamalpais Ter	SanFrancisco															
@people @people  SanFrancisco is rare walkable city.  Problem is w/ increasing crime, drugs, assaults… https://t.co/NNxh2l0CNG	SanFrancisco																
Work with a tight-knit team of passionate people in this Senior Software Engineer role. Based in  SanFrancisco ther… https://t.co/PVP1kbeRa2	SanFrancisco																
RT @people: Pacific climate warriors: “I have a right to set foot on my islands... to see its beauty and everything it has to give. My…																	
Aww my lovely beach I missed you. . . . .  newzealand  wellington  photographer  landscape  fujilove  clouds  lyallbay  beach  waves https://t.co/yFW33nLs1b https://t.co/2gqPwzyRCA	newzealand	wellington															
RT @people: Can't get tired of this view.  Sydney https://t.co/hcV8a4l3pI	Sydney																
Racism is well and truly still alive here! Just filed a police report on an incident! Some people just don't want any peace  notoracism  Wellington  NewZealand	Wellington	NewZealand															
Today we rode over the Golden Gate Bridge and it was pretty incredible. I’m sure I’ll be back in any free evenings… https://t.co/mdkeKAbxOB	Golden Gate Bridge																
@people tooo nice bra  AK41  QC  SF  surrounded by winners  allfacts not to forget he fw da city hard @people 	SF																
RT @people: Great to be back in  Sydney tonight, ahead of a jam-packed week - visits to wonderful schools exploring  evidence use in @…	Sydney																
Spent the weekend in Sonoma and had to stop at the bridge on the way home. Such a beautiful sunset.   sonomacounty… https://t.co/hMfQM1AOkc	Sonoma																
I love the people living in Shotwell St, they basically invented air fresheners.  SanFrancisco	Shotwell St	SanFrancisco															
On the @people from  WashingtonDC to  NewYork. The driver makes all the usual announcements: no smoking, no littering, no speaking loudly on the cellphone etc., and then throws in: “Please don’t urinate on the seat or the floor.” Only in America, right? 	WashingtonDC	NewYork	America														
RT @people:  Rugby: In Nova Scotia University Rugby League men's action, the @people will play @people at 4 p.m. at @people in…	Nova Scotia																
 Sydney please  too many private cars sat blocking bridge access  cutting in to pull back out ??? https://t.co/UzfqnZtER6	Sydney																
RT @people: Always a sure sign that  Spring has arrived in  Wellington - this blossom tree just lights up the street! Stood under it to…	Wellington																
Excited to be here @people in SF to witness the 1st of 2 nights of @people RAW and Smackdown  wwe  chasecenter… https://t.co/gNbXQONeq3	SF																
Stolen jewelry, silver antiques and old coins stolen from Brock Rd business. 1-800-222-TIPS https://t.co/GwESPDvBuF If you know who will be trying to sell them.  Wellington  sayithere @people https://t.co/Kx3Z07nkcc	Wellington	Brock Rd															
RT @people: Our brother and sister in  SanFrancisco. One day our human chain will connect every free man around the world.   StandWithH…	SanFrancisco																
You couldn't live in Wellington and not have a memory of this ????  wellington  wellingtonharbour  memories https://t.co/w0TTqHbgMl https://t.co/JzEyOueg7h	Wellington	wellington															
"This October  Wellington and  Auckland! The extraordinary @people are bringing you ""Beethoven, Beethoven and more Beethoven"" as part of their  Beethoven Around the World tour - discover more below as they chat about their tour to  NZ!  https://t.co/yes6MKVCQn"	Wellington	Auckland	NZ														
 want great Flamingo Mobile in  SanFrancisco today https://t.co/cW31iZzehq	SanFrancisco																
RT @people: Yet more evidence that I live in the BEST city :-) @people @people  Wellington  nzbirds  conservation  birds So fa…	Wellington																
3-0 feelin good heading into the bye week. Cleveland next on a Monday night!   SanFrancisco  FortyNiners  Niners… https://t.co/38CtYmKOlq	Cleveland	SanFrancisco															
 Oakland Northbound  I880 before 5th Ave.  Driver arrested  after going the wrong way on the  BayBridge from… https://t.co/6wZypYaeYs	Oakland	BayBridge															
https://t.co/dzDEasAXb6   13 out of 81,000 Free for all out here. No law in  SanFrancisco @people	SanFrancisco																
RT @people: Gorgeous evening in  Wellington. Lovely evening for some @people landings.  cantbeatwellingtononagoodday https://t.co/5jJ0X…	Wellington																
RT @people: Come explore San Francisco with Avant Real Estate! Go to a workshop at Case for Making in Outer Sunset for watercolor fun! 415…	San Francisco																
Mountains to Sea Wellington, putting words into action.  https://t.co/7xwHeBJqzw   wellington  marineconservation  freshwater  marinereserves  education  communityscience	Wellington																
Wellington waterfront  night  walks  wellington  beautiful  city  citylife  amazing  newzealand  waterfront  relaxing @ Wellington, New Zealand https://t.co/LybfVUteJG	Wellington	wellington	newzealand	Wellington	New Zealand												
So my commute home has been totally ruined by this tree decimation alongside the Anzac Bridge pedestrian bridge. It’s going to be so hot and exposed, dusty and miserable. WHY?  innerwest  anzacbridge  balmainrozelle2041  sydney  nswtransport https://t.co/OSWwJLV0i7	Anzac Bridge	anzacbridge	sydney														
Sydney friends, I would love to see you at @people's 'Ride Like a Girl' movie night on the 2nd of October so we can raise funds to reduce inequalities.   Get your tickets here: https://t.co/MWdIApGGGc   sydney  events  movienight  fundraiser	Sydney	sydney															
Just so happens exactly 5 years later we visited SF again! We decided to stop for a quick breather, then realized w… https://t.co/UXUX8dhzuw	SF																
More  sanfrancisco shenanigans with chazedaze and the  pups today. Love is in the air in  sanfrancisco!  boyfriends… https://t.co/wogCoimD7r	sanfrancisco																
I love the people living in Lydia Ave, they love their dogs so much.  SanFrancisco	Lydia Ave	SanFrancisco															
Megastructures of the  nexusarcana  sf  novel  series available on  amazon  kindle.  https://t.co/mO0N5d9YIM																	
RT @people: Wow! Within one  SanFrancisco block I witnessed a woman pooping on the sidewalk, another with a needle in her arm and…	SanFrancisco																
This sums up this little girls excitement for our whole adventure in San Fran! Fun quick weekend away!    … https://t.co/Y0hoa6vcHO	San Fran																
It’s good to be back. So happy that our Mia is so happy to be here and is already besties with her ate Oceann.   Sydney	Sydney																
RT @people: Science Fiction and Fantasy books available to read free in Kindle Unlimited!  epic  fantasy  scifi  swords  UF  adventure…																	
See our latest  SanFrancisco, CA job and click to apply: Systems Support Engineer - https://t.co/gRtCoypeVG  ProjectMgmt	SanFrancisco																
Fucking typical. Another afternoon of delays. Trains stranded with no updates. Welcome to a first world city!  sydney  sydneytrains  shittyrail	sydney																
RT @people: Calling young people from all over  Sydney to join the @people Commission! Help us to transform  health services h…	Sydney																
What is the average price of  RealEstate in  SanFrancisco?   The answer will be revealed soon!  P.s. No cheating!! 	SanFrancisco																
Seeking shelter from a storm and trouble, Arwen accepts a ride with a dark stranger, his sick friend, and a red gol… https://t.co/yzs9Gy2Mvz																	
Amazing selection SF, Fantasy and Paranormal series starters free to download.  paranormal  epic  sf  dragons… https://t.co/BJAHErN5a0	SF																
Wait, WTF? How is this even *possible?* https://t.co/ZAlr0BICSG Guy'd have to first drive the wrong way up an offra… https://t.co/n5d0wvibxy																	
The  1 Unforgettable Tour of California Told Through Blog Posts @people @people @people… https://t.co/A9lmkFSqMz	California																
@people The battle is not between  Sydney and  Melbourne . The battle for Sydney is with supplies of water, fuels, gas and electricity. I wish everyone good luck who tries to grow an unsustainable city. Ever heard of peak oil in China? https://t.co/ebkZfMSCOZ	Sydney	Melbourne	China														
This Bay Area city ranked best place to retire in California https://t.co/bauHSvMp6t +1 HellaBot  SF  SFBay  CA	California	SF	SFBay	Bay Area													
"RT @people: We're looking for a Senior  Digital  Marketing &amp;  UX Specialist to join our  Sydney office! You'll be responsible for dig…"	Sydney																
 instagram Another zen photo from the Japanese Tea Garden in San Francisco. The climate is perfect here to keep eve… https://t.co/EY5Xgm7hdB	San Francisco	Japanese Tea Garden															
"GOLDEN STATE WARRIORS Anthem by @people - ""Mat Warriors"" (Prod. by James Butcher &amp; HHCF) https://t.co/YDerpVVFrw… https://t.co/cum86r2rwd"																	
